'Tabelle 2.2.'23':';;;;;;;Indikator 2.24;;;;Metadaten;
"Empfängerhaushalte von Wohngeld in Berlin 2002 - 2004 (Stand: 31.12.)
nach Bezirken";;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Bezirk;Empfängerhaushalte von Wohngeld;;;;;;;;;;;
;absolut;in %;je 1.000 Privat-haus-halte 1);absolut;in %;je 1.000 Privat-haus-halte 1);absolut;in %;je 1.000 Privat-haus-halte 1);;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;2002;;;2003;;;2004;;;;;
;;;;;;;;;;;;
Mitte;28.127    ;11,5   ;16    ;33.028    ;12,8   ;18    ;34.173    ;12,4   ;18    ;;;
Friedrichshain-Kreuzberg;27.754    ;11,4   ;19    ;30.517    ;11,9   ;19    ;30.965    ;11,2   ;19    ;;;
Pankow;23.036    ;9,5   ;11    ;24.866    ;9,7   ;12    ;28.342    ;10,3   ;14    ;;;
Charlottenburg-Wilmersdorf;17.211    ;7,1   ;9    ;15.763    ;6,1   ;8    ;18.419    ;6,7   ;10    ;;;
Spandau;19.658    ;8,1   ;17    ;18.151    ;7,1   ;16    ;17.737    ;6,4   ;15    ;;;
Steglitz-Zehlendorf;9.987    ;4,1   ;7    ;10.708    ;4,2   ;7    ;11.507    ;4,2   ;7    ;;;
Tempelhof-Schöneberg;20.932    ;8,6   ;11    ;19.481    ;7,6   ;10    ;21.601    ;7,8   ;12    ;;;
Neukölln;31.452    ;12,9   ;19    ;32.391    ;12,6   ;20    ;36.495    ;13,2   ;23    ;;;
Treptow-Köpenick;14.217    ;5,8   ;12    ;15.178    ;5,9   ;12    ;16.087    ;5,8   ;13    ;;;
Marzahn-Hellersdorf;18.305    ;7,5   ;15    ;21.265    ;8,3   ;17    ;22.639    ;8,2   ;18    ;;;
Lichtenberg;18.763    ;7,7   ;13    ;20.658    ;8,0   ;15    ;22.010    ;8,0   ;16    ;;;
Reinickendorf;13.840    ;5,7   ;11    ;15.110    ;5,9   ;12    ;16.159    ;5,8   ;13    ;;;
;;;;;;;;;;;;
Berlin 2);243.535    ;100,0   ;13    ;257.344    ;100,0   ;14    ;276.318    ;100,0   ;15    ;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1) Privathaushalte: Ergebnisse des Mikrozensus.;;;;;;;;;;;;
2) Einschließlich Wohngeldempfänger, die von der Hauptfürsorgestelle betreut werden.;;;;;;;;;;;;
(Datenquelle: StaLa Berlin);;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
