'Tabelle 2.'24-1':';;;;;;;;;;;;;;;;Indikator 2.24;;;;Metadaten;;
"Empfängerhaushalte von Wohngeld in Berlin 2005 - 2011 (Stand: 31.12.)
nach Bezirken";;;;;;;;;;;;;;;;;;;;Zur GSI-Suchanfrage;;
;;;;;;;;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Bezirk;Empfängerhaushalte1) von Wohngeld;;;;;;;;;;;;;;;;;;Empfängerhaushalte1) von Wohngeld;;;
;absolut;in %;je 1.000 Privat-haus-halte2);absolut;in %;je 1.000 Privat-haus-halte2);absolut;in %;je 1.000 Privat-haus-halte2);absolut;in %;je 1.000 Privat-haus-halte2);absolut;in %;je 1.000 Privat-haus-halte2);absolut;in %;je 1.000 Privat-haus-halte2);absolut;in %;je 1.000 Privat-haus-halte2);
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;20113);;;20103);;;20093);;;2008;;;2007;;;2006;;;2005;;;
;;;;;;;;;;;;;;;;;;;;;;
Mitte;3.677;10,2   ;18,1     ;4.176;9,9   ;21,1     ;4.185;10,5   ;21,6     ;2.668;9,9   ;14,1     ;2.505;10,0   ;13,3     ;3.382;10,0   ;18,0     ;4.479;10,3   ;23,8     ;
Friedrichshain-Kreuzberg;3.375;9,3   ;20,2     ;3.532;8,4   ;21,2     ;3.541;8,9   ;20,6     ;3.052;11,3   ;17,3     ;2.847;11,4   ;16,4     ;3.656;10,8   ;21,3     ;4.597;10,6   ;28,3     ;
Pankow;4.435;12,3   ;19,4     ;5.010;11,9   ;22,6     ;4.686;11,8   ;20,9     ;3.339;12,4   ;15,1     ;3.147;12,6   ;14,4     ;4.341;12,8   ;19,7     ;5.534;12,7   ;25,6     ;
Charlottenburg-Wilmersdorf;2.143;5,9   ;11,0     ;2.278;5,4   ;11,6     ;2.170;5,5   ;10,7     ;1.477;5,5   ;7,4     ;1.394;5,6   ;7,0     ;2.069;6,1   ;10,5     ;2.777;6,4   ;14,6     ;
Spandau;2.478;6,9   ;19,4     ;2.700;6,4   ;21,7     ;2.641;6,6   ;22,0     ;1.839;6,8   ;15,6     ;1.623;6,5   ;13,6     ;1.985;5,9   ;16,6     ;2.358;5,4   ;19,6     ;
Steglitz-Zehlendorf;1.907;5,3   ;12,0     ;2.022;4,8   ;12,4     ;1.923;4,8   ;12,2     ;973;3,6   ;6,1     ;798;3,2   ;4,9     ;1.440;4,3   ;9,1     ;1.923;4,4   ;12,0     ;
Tempelhof-Schöneberg;2.643;7,3   ;13,7     ;2.690;6,4   ;13,9     ;2.947;7,4   ;15,1     ;1.856;6,9   ;9,6     ;1.653;6,6   ;8,7     ;2.390;7,1   ;12,7     ;3.216;7,4   ;17,6     ;
Neukölln;3.067;8,5   ;17,7     ;3.882;9,2   ;23,2     ;3.352;8,4   ;19,4     ;2.293;8,5   ;13,5     ;2.365;9,5   ;14,2     ;3.324;9,8   ;20,2     ;4.142;9,5   ;25,4     ;
Treptow-Köpenick;3.001;8,3   ;21,8     ;3.337;7,9   ;24,5     ;3.435;8,6   ;25,4     ;2.124;7,9   ;15,9     ;2.050;8,2   ;15,9     ;2.791;8,3   ;21,2     ;3.628;8,4   ;28,6     ;
Marzahn-Hellersdorf;3.475;9,6   ;25,9     ;5.267;12,5   ;39,1     ;4.111;10,3   ;31,7     ;2.871;10,6   ;22,2     ;2.458;9,9   ;19,2     ;3.118;9,2   ;24,0     ;3.931;9,1   ;31,1     ;
Lichtenberg;3.770;10,4   ;24,8     ;4.925;11,7   ;31,8     ;4.256;10,7   ;27,8     ;2.932;10,9   ;20,1     ;2.690;10,8   ;19,0     ;3.484;10,3   ;25,5     ;4.338;10,0   ;31,4     ;
Reinickendorf;2.173;6,0   ;17,1     ;2.405;5,7   ;18,3     ;2.514;6,3   ;19,1     ;1.568;5,8   ;11,7     ;1.404;5,6   ;11,2     ;1.822;5,4   ;14,6     ;2.499;5,8   ;20,3     ;
;;;;;;;;;;;;;;;;;;;;;;
Berlin;36.144;100,0   ;18,1     ;42.224;100,0   ;21,2     ;39.761;100,0   ;20,0     ;26.992;100,0   ;13,7     ;24.934;100,0   ;12,8     ;33.802;100,0   ;17,5     ;43.422;100,0   ;22,9     ;
darunter:;;;;;;;;;;;;;;;;;;;;;;
reine Wohngeldempfängerhaushalte;34.684;96,0   ;17,4     ;38.414;91,0   ;19,3     ;38.129;95,9   ;19,2     ;25.947;96,1   ;13,2     ;23.902;95,9   ;12,3     ;32.365;95,7   ;16,8     ;41.728;96,1   ;22,0     ;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1) Reine Wohngeldempfängerhaushalte sowie Mischhaushalte, in denen die Antragsteller/innen Transferleistungsempfangende sind oder wo im Gesamthaushalt transferleistungsempfangende Personen leben.;;;;;;;;;;;;;;;;;;;;;;
2) Privathaushalte: Ergebnisse des Mikrozensus des jeweiligen Jahres.;;;;;;;;;;;;;;;;;;;;;;
3) Die Zahl der Empfängerhaushalte von Wohngeld ist ab 2009 erhöht, da es eine Gesetzesänderung u. a. in Bezug auf die Heizkostenpauschale gab. Dadurch sind mehr Personen wohngeldberechtigt.;;;;;;;;;;;;;;;;;;;;;;
(Datenquelle: AfS Berlin-Brandenburg / Berechnung: SenGesSoz - I A -);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
