'Tabelle 2.'1-1 a':';;;;;;;;;Indikatoren 2.1/2.5;;;;Metadaten;Metadaten;;;;;;;;;;
"Bevölkerung in Berlin 1990 - 2011 (Stand: 31.12.)
nach Geschlecht, Ausländeranteil und Bezirken";;;;;;;;;;;;;Zur GSI-Suchanfrage;;;;;;;;;;;
;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Bezirk / Geschlecht / Staatsangehörigkeit / Maßeinheit;;Bevölkerung am 31.12.;;;;;;;;;;Bevölkerung am 31.12.;;;;;;;;;;;;
;;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Berlin;;3.501.872;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;3.501.872;3.460.725;3.442.675;3.431.675;3.416.255;3.404.037;3.395.189;3.387.828;3.388.477;3.392.425;3.388.434;3.382.169;3.386.667;3.398.822;3.425.759;3.458.763;3.471.418;3.472.009;3.475.392;3.465.748;3.446.031;3.433.695;
;%1);100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;
weiblich;abs.;1.784.227;1.765.287;1.756.419;1.751.173;1.744.029;1.738.284;1.735.546;1.734.771;1.737.274;1.740.954;1.740.265;1.738.635;1.742.092;1.750.304;1.766.289;1.785.708;1.797.140;1.803.361;1.810.411;1.809.277;1.805.784;1.803.129;
;%2);51,0;51,0;51,0;51,0;51,1;51,1;51,1;51,2;51,3;51,3;51,4;51,4;51,4;51,5;51,6;51,6;51,8;51,9;52,1;52,2;52,4;52,5;
männlich;abs.;1.717.645;1.695.438;1.686.256;1.680.502;1.672.226;1.665.753;1.659.643;1.653.057;1.651.203;1.651.471;1.648.169;1.643.534;1.644.575;1.648.518;1.659.470;1.673.055;1.674.278;1.668.648;1.664.981;1.656.471;1.640.247;1.630.566;
;%2);49,0;49,0;49,0;49,0;48,9;48,9;48,9;48,8;48,7;48,7;48,6;48,6;48,6;48,5;48,4;48,4;48,2;48,1;47,9;47,8;47,6;47,5;
ausländisch;abs.;494.391;472.451;473.209;480.403;476.966;472.653;466.518;454.545;447.325;444.774;440.777;434.268;433.562;431.654;432.990;435.094;425.129;406.705;393.044;371.577;340.046;315.578;
;%2);14,1;13,7;13,7;14,0;14,0;13,9;13,7;13,4;13,2;13,1;13,0;12,8;12,8;12,7;12,6;12,6;12,2;11,7;11,3;10,7;9,9;9,2;
;;;;;;;;;;;;;;;;;;;;;;;;
Mitte (bis 2000: Mitte, Tiergarten, Wedding);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;340.000;333.199;333.437;329.592;328.428;326.422;322.744;320.794;320.689;322.877;321.913;320.223;321.077;324.312;329.963;337.442;340.985;342.669;346.246;346.475;342.216;339.804;
;%1);9,7;9,6;9,7;9,6;9,6;9,6;9,5;9,5;9,5;9,5;9,5;9,5;9,5;9,5;9,6;9,8;9,8;9,9;10,0;10,0;9,9;9,9;
weiblich;abs.;164.810;161.811;161.749;160.171;159.716;159.024;158.000;157.792;158.187;159.360;159.262;158.622;159.355;161.502;165.060;169.464;172.000;173.704;175.833;176.065;174.356;173.047;
;%2);48,5;48,6;48,5;48,6;48,6;48,7;49,0;49,2;49,3;49,4;49,5;49,5;49,6;49,8;50,0;50,2;50,4;50,7;50,8;50,8;50,9;50,9;
männlich;abs.;175.190;171.388;171.688;169.421;168.712;167.398;164.744;163.002;162.502;163.517;162.651;161.601;161.722;162.810;164.903;167.978;168.985;168.965;170.413;170.410;167.860;166.757;
;%2);51,5;51,4;51,5;51,4;51,4;51,3;51,0;50,8;50,7;50,6;50,5;50,5;50,4;50,2;50,0;49,8;49,6;49,3;49,2;49,2;49,1;49,1;
ausländisch;abs.;94.849;91.019;93.683;92.562;94.029;93.796;91.408;88.942;86.792;87.536;86.132;83.476;82.478;81.245;79.998;79.634;76.736;73.214;71.994;69.479;63.841;59.723;
;%2);27,9;27,3;28,1;28,1;28,6;28,7;28,3;27,7;27,1;27,1;26,8;26,1;25,7;25,1;24,2;23,6;22,5;21,4;20,8;20,1;18,7;17,6;
;;;;;;;;;;;;;;;;;;;;;;;;
