'Tabelle 2.'1-1 b':';;;;;;;;;Indikatoren 2.1/2.5;;;;Metadaten;Metadaten;;;;;;;;;
"Durchschnittliche Bevölkerung in Berlin 1990 - 2011
nach Geschlecht, Ausländeranteil und Bezirken";;;;;;;;;;;;;Zur GSI-Suchanfrage;;;;;;;;;;
;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Bezirk / Geschlecht / Staatsangehörigkeit / Maßeinheit;;Durchschnittliche Bevölkerung;;;;;;;;;;Durchschnittliche Bevölkerung;;;;;;;;;;;
;;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Berlin;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;3.479.466;3.446.972;3.434.581;3.424.638;3.407.626;3.399.900;3.391.791;3.387.545;3.391.513;3.390.291;3.385.147;3.384.147;3.393.324;3.414.293;3.445.033;3.466.524;3.471.003;3.477.227;3.470.577;3.454.599;3.438.834;3.420.184
;%1);100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
weiblich;abs.;1.773.543;1.758.447;1.752.475;1.752.479;1.739.933;1.736.873;1.735.156;1.735.712;1.739.580;1.740.703;1.739.184;1.740.142;1.745.844;1.758.786;1.776.703;1.791.631;1.799.606;1.808.085;1.809.314;1.806.620;1.804.067;1.798.134
;%2);51,0;51,0;51,0;51,2;51,1;51,1;51,2;51,2;51,3;51,3;51,4;51,4;51,4;51,5;51,6;51,7;51,8;52,0;52,1;52,3;52,5;52,6
männlich;abs.;1.705.923;1.688.525;1.682.105;1.677.135;1.667.689;1.663.032;1.656.626;1.651.829;1.651.933;1.649.590;1.645.967;1.643.996;1.647.480;1.655.507;1.668.330;1.674.893;1.671.397;1.669.142;1.661.263;1.647.979;1.634.767;1.622.050
;%2);49,0;49,0;49,0;49,0;48,9;48,9;48,8;48,8;48,7;48,7;48,6;48,6;48,6;48,5;48,4;48,3;48,2;48,0;47,9;47,7;47,5;47,4
ausländisch;abs.;482.436;469.149;474.803;480.462;473.335;469.359;459.538;449.418;445.103;441.637;436.690;432.956;433.369;432.489;434.745;430.456;414.453;401.564;381.449;353.799;326.450;306.562
;%2);13,9;13,6;13,8;14,0;13,9;13,8;13,5;13,3;13,1;13,0;12,9;12,8;12,8;12,7;12,6;12,4;11,9;11,5;11,0;10,2;9,5;9,0
;;;;;;;;;;;;;;;;;;;;;;;
Mitte (bis 2000: Mitte, Tiergarten, Wedding);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;336.011;332.690;331.641;329.125;327.343;324.670;321.895;320.426;321.431;322.577;320.878;320.662;322.898;327.539;334.034;339.388;341.861;344.954;346.357;344.511;340.657;337.956
;%1);9,7;9,7;9,7;9,6;9,6;9,5;9,5;9,5;9,5;9,5;9,5;9,5;9,5;9,6;9,7;9,8;9,8;9,9;10,0;10,0;9,9;9,9
weiblich;abs.;163.010;161.347;160.953;159.905;159.300;158.508;157.928;157.839;158.728;159.332;158.875;158.914;160.452;163.249;167.313;170.801;172.945;174.897;175.904;175.249;173.457;172.371
;%2);48,5;48,5;48,5;48,6;48,7;48,8;49,1;49,3;49,4;49,4;49,5;49,6;49,7;49,8;50,1;50,3;50,6;50,7;50,8;50,9;50,9;51,0
männlich;abs.;173.001;171.343;170.689;169.209;168.042;166.164;163.980;162.583;162.703;163.246;161.992;161.723;162.446;164.290;166.721;168.587;168.916;170.057;170.453;169.262;167.200;165.585
;%2);51,5;51,5;51,5;51,4;51,3;51,2;50,9;50,7;50,6;50,6;50,5;50,4;50,3;50,2;49,9;49,7;49,4;49,3;49,2;49,1;49,1;49,0
ausländisch;abs.;92.703;92.050;93.257;93.794;94.042;92.499;90.206;87.596;86.558;86.886;84.669;82.935;82.145;80.810;80.043;78.167;74.688;72.894;70.366;66.442;61.655;58.091
;%2);27,6;27,7;28,1;28,5;28,7;28,5;28,0;27,3;26,9;26,9;26,4;25,9;25,4;24,7;24,0;23,0;21,8;21,1;20,3;19,3;18,1;17,2
;;;;;;;;;;;;;;;;;;;;;;;
Friedrichshain-Kreuzberg;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
